number,key,top_group,sub_group,relative_path,has_pdf,classification_basis
1,BioViL,ByCitation,Med-VLMs,ByCitation/Med-VLMs/[2022] [1] Making the Most of Text Semantics to Improve Biomedical Vision-Language.pdf,True,Mô hình ngôn ngữ trực quan y khoa BioViL khai thác ngữ nghĩa văn bản báo cáo X-quang.
2,Brodersen2010BalancedAcc,ByCitation,Metrics,ByCitation/Metrics/[2010] [2] The Balanced Accuracy and Its Posterior Distribution.pdf,True,Định nghĩa và phân tích độ chính xác cân bằng (Balanced Accuracy).
3,Canziani2017PracticalDNN,ByCitation,Metrics,ByCitation/Metrics/[2017] [3] An Analysis of Deep Neural Network Models for Practical Applications.pdf,True,"Phân tích và đo lường chi phí tính toán, độ trễ và thông lượng mạng nơ-ron sâu."
4,Cui2019ClassBalanced,Selected,Selected,Selected/[2019] [4] Class-Balanced Loss Based on Effective Number of Samples.pdf,True,Hàm mất mát Class-Balanced Loss dựa trên số lượng mẫu hiệu dụng trong huấn luyện Pha 2 của Chương 3.
5,Davies1979ClusterSeparation,ByCitation,Metrics,N/A (Online resource or paywalled),False,Chỉ số tách cụm Davies-Bouldin đánh giá chất lượng phân cụm trong không gian biểu diễn.
6,Davis2006PR,ByCitation,Metrics,ByCitation/Metrics/[2006] [6] The Relationship Between Precision-Recall and ROC Curves.pdf,True,Mối quan hệ giữa đường cong Precision-Recall và ROC (Macro-AUPRC).
7,DeepTranslator,Online,Online,N/A (Online resource or paywalled),False,Thư viện Python deep-translator hỗ trợ dịch thuật bệnh sử.
8,Dosovitskiy2021ViT,Selected,Selected,Selected/[2021] [8] An Image Is Worth 16x16 Words Transformers for Image Recognition.pdf,True,Kiến trúc Vision Transformer (ViT-B/16) làm bộ mã hóa thị giác cho ảnh toàn cục và ảnh cục bộ trong Chương 3.
9,PubMedCLIP,ByCitation,Med-VLMs,ByCitation/Med-VLMs/[2023] [9] Does CLIP Hurt Medical Image Classification Evaluating and Improving CLIP.pdf,True,Mô hình CLIP tinh chỉnh trước trên dữ liệu y sinh PubMed.
10,Fawcett2006ROC,ByCitation,Metrics,ByCitation/Metrics/[2006] [10] An Introduction to ROC Analysis.pdf,True,Tài liệu cơ sở về phân tích đường cong ROC (Macro-AUROC).
11,Guo2017Calibration,ByCitation,Metrics,ByCitation/Metrics/[2017] [11] On Calibration of Modern Neural Networks.pdf,True,Phương pháp và chỉ số sai số hiệu chỉnh kỳ vọng (Expected Calibration Error - ECE).
12,ResNet,ByCitation,Scratch,ByCitation/Scratch/[2016] [12] Deep Residual Learning for Image Recognition.pdf,True,Kiến trúc mạng tích chập thặng dư ResNet-50.
13,Hendrycks2017MSP,ByCitation,OOD Detection,ByCitation/OOD Detection/[2017] [13] A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural.pdf,True,Phương pháp cơ sở xác suất softmax cực đại (Maximum Softmax Probability - MSP) cho phát hiện OOD.
14,Hu2022LoRA,Selected,Selected,Selected/[2022] [14] LoRA Low-Rank Adaptation of Large Language Models.pdf,True,Kỹ thuật tinh chỉnh tham số hiệu quả LoRA áp dụng trên hai bộ mã hóa của BiomedCLIP trong Chương 3.
15,DenseNet,ByCitation,Scratch,ByCitation/Scratch/[2017] [15] Densely connected convolutional networks.pdf,True,Kiến trúc mạng tích chập DenseNet-121.
16,GLoRIA,ByCitation,Med-VLMs,ByCitation/Med-VLMs/[2021] [16] GLoRIA A Multimodal Global-Local Representation Learning Framework for Label-efficient Medical.pdf,True,Khung học biểu diễn đa phương thức toàn cục - cục bộ cho nhận dạng ảnh y khoa.
17,Lee2018MahalanobisOOD,ByCitation,OOD Detection,ByCitation/OOD Detection/[2018] [17] A Simple Unified Framework for Detecting Out-of-Distribution Samples and Adversarial.pdf,True,Phương pháp phát hiện OOD dựa trên khoảng cách Mahalanobis trong không gian đặc trưng.
18,li_2023_llavamed,ByCitation,Med-MLLLM,ByCitation/Med-MLLLM/[2023] [18] LLaVA-Med Training a Large Language-and-Vision Assistant for Biomedicine in One.pdf,True,Mô hình ngôn ngữ lớn đa phương thức y sinh LLaVA-Med.
19,Liang2018ODIN,ByCitation,OOD Detection,ByCitation/OOD Detection/[2018] [19] Enhancing the Reliability of Out-of-Distribution Image Detection in Neural Networks.pdf,True,Phương pháp ODIN tăng cường độ tin cậy phát hiện OOD bằng nhiệt độ và nhiễu đầu vào.
20,Liu2020EnergyOOD,ByCitation,OOD Detection,ByCitation/OOD Detection/[2020] [20] Energy-based Out-of-distribution Detection.pdf,True,Phương pháp phát hiện OOD dựa trên điểm năng lượng (Energy-based OOD).
21,XMei,ByCitation,Scratch,ByCitation/Scratch/[2020] [21] Artificial intelligence-enabled rapid diagnosis of patients with COVID-19.pdf,True,Hệ thống AI kết hợp ảnh CT ngực và thông tin lâm sàng chẩn đoán COVID-19.
22,moor_2023_medflamingo,ByCitation,Med-MLLLM,ByCitation/Med-MLLLM/[2023] [22] Med-Flamingo a Multimodal Medical Few-shot Learner.pdf,True,Mô hình ngôn ngữ lớn đa phương thức học ít mẫu Med-Flamingo.
23,LCBB,ByCitation,Med-VLMs,ByCitation/Med-VLMs/[2024] [23] Less Could Be Better Parameter-efficient Fine-tuning Advances Medical Vision Foundation.pdf,True,Phương pháp thích nghi LoRA cho mô hình ngôn ngữ trực quan y khoa.
24,OpenAI2024GPT4oSystemCard,Online,Online,N/A (Online resource or paywalled),False,Tài liệu hệ thống GPT-4o của OpenAI.
25,FTB,ByCitation,Med-VLMs,ByCitation/Med-VLMs/[2024] [25] Freeze the Backbones a Parameter-Efficient Contrastive Approach to Robust Medical.pdf,True,Phương pháp Freeze the Backbones thích nghi tương phản hiệu quả tham số cho tiền huấn luyện Med-VLM.
26,CLIP,ByCitation,Med-VLMs,ByCitation/Med-VLMs/[2021] [26] Learning Transferable Visual Models From Natural Language Supervision.pdf,True,Mô hình nền tảng Contrastive Language-Image Pretraining (CLIP) của OpenAI.
